month,county,pid
2019-03-01,Donley,0.0
2019-03-01,Duval,1.0
2019-03-01,Eastland,4.0
2019-03-01,Ector,4.0
2019-03-01,Edwards,0.0
2019-03-01,Ellis,7.0
2019-03-01,El Paso,19.0
2019-03-01,Erath,3.0
2019-03-01,Falls,2.0
2019-03-01,Fannin,4.0
2019-03-01,Fayette,4.0
2019-03-01,Fisher,0.0
2019-03-01,Floyd,1.0
2019-03-01,Foard,1.0
2019-03-01,Fort Bend,17.0
2019-03-01,Franklin,0.0
2019-03-01,Freestone,2.0
2019-03-01,Frio,1.0
2019-03-01,Gaines,1.0
2019-03-01,Galveston,13.0
2019-03-01,Garza,1.0
2019-03-01,Gillespie,4.0
2019-03-01,Glasscock,0.0
2019-03-01,Goliad,0.0
2019-03-01,Gonzales,2.0
2019-03-01,Gray,1.0
2019-03-01,Grayson,11.0
2019-03-01,Gregg,12.0
2019-03-01,Grimes,2.0
2019-03-01,Guadalupe,7.0
2019-03-01,Hale,2.0
2019-03-01,Hall,1.0
2019-03-01,Hamilton,4.0
2019-03-01,Hansford,1.0
2019-03-01,Hardeman,0.0
2019-03-01,Hardin,5.0
2019-03-01,Harris,106.0
2019-03-01,Harrison,2.0
2019-03-01,Hartley,0.0
2019-03-01,Haskell,2.0
2019-03-01,Hays,5.0
2019-03-01,Hemphill,0.0
2019-03-01,Henderson,4.0
2019-03-01,Hidalgo,22.0
2019-03-01,Hill,3.0
2019-03-01,Hockley,2.0
2019-03-01,Hood,4.0
2019-03-01,Hopkins,3.0
